Symbol;Name;Symbol2;Currency
BNQF;Collateralized ETC on RICI Enhanced Gas Oil TR Index;BNQF;EUR
CNB;Lyxor Euro Corporate Bond Ex Financials UCITS ETF;LYBF;EUR
UEF5;UBS ETF - MSCI Emerging Markets Socially Responsible UCITS ETF;UEF5;EUR
GOMA;BNP Paribas Easy Barclays Euro Government Inflation Linked All Maturities ETF;GOMA;EUR
X0BM;Coba ETC -2 x Platinum Daily Short Index;X0BM;EUR
FLOT;Lyxor Barclays Floating Rate Euro 0-7Y UCITS ETF;NK4L;EUR
X0E2;Coba ETC 2x Gasoil Daily Long Index;X0E2;EUR
ETLH;L&G Ecommerce Logistics UCITS ETF;ETLH;EUR
PP2;ComStage ETF PSI 20 Leverage UCITS ETF;CD48;EUR
XBO3;Xtrackers II Italy Government Aggregate Bond Swap UCITS ETF;XBO3;EUR
WTIZ;WisdomTree Japan Equity UCITS ETF;WTIZ;EUR
XBJA;ETFS Long CHF Short EUR;XBJA;EUR
4GLD;Xetra-Gold;4GLD;EUR
2OIL;Boost WTI Oil 2x Leverage Daily ETP;2OIL;EUR
XMVE;Xtrackers MSCI EMU Minimum Volatility UCITS ETF;XMVE;EUR
EQUA;BNP PARIBAS EASY Equity Quality Europe UCITS ETF;QUEU;EUR
X0C1;Coba ETC 1x Brent Oil Daily Long;X0C1;EUR
EL4F;Deka DAX ausschuettend UCITS ETF;EL4F;EUR
WTDY;WisdomTree US Equity Income UCITS ETF;WTDY;EUR
00XS;ETFS EUR Daily Hedged Wheat;00XS;EUR
X03B;Xtrackers II Eurozone Government Bond 1-3 UCITS ETF;X03B;EUR
E903;ComStage 1 DivDAX UCITS ETF;E903;EUR
CG1;Amundi ETF DAX UCITS ETF DR;ACG1;EUR
EL4S;Deka DB EUROGOV Germany 1-3 UCITS ETF;EL4S;EUR
C054;ComStage ETF FR EURO STOXX 50 UCITS ETF;C054;EUR
M9SD;Market Access NYSE Arca Gold Bugs Index UCITS ETF;M9SD;EUR
D5BF;Xtrackers II US Treasuries Inflation-Linked UCITS ETF;D5BF;EUR
X0BB;Coba ETC 3x Cocoa Daily Long;X0BB;EUR
WTEM;WisdomTree Global Quality Dividend Growth UCITS ETF;WTEM;EUR
WSRI;Amundi Index MSCI World SRI UCITS ETF DR;XAMB;EUR
EL4W;Deka DB EUROGOV Germany MM UCITS ETF;EL4W;EUR
PCFN;BOOST GOLD 3X SHORT DAILY;PCFN;EUR
5X60;ComStage ETF Commerzbank Bund-Future TR UCITS ETF;5X60;EUR
DIUS;BNP Paribas Easy Equity Dividend US UCIITS ETF;DIUS;EUR
FEUQ;Fidelity Europe Quality Income UCITS ETF;FEUQ;EUR
OD72;ETFS Petroleum;OD72;EUR
ETL2;L&G Longer Dated All Commodities UCITS ETF;ETL2;EUR
WTEA;WisdomTree Emerging Asia Equity Income UCITS ETF;WTEA;EUR
C100;ComStage ETF Commerzbank EONIA Index TR UCITS ETF;C100;EUR
DBX9;Xtrackers FTSE China 50 UCITS ETF;DBX9;EUR
CAPU;OSSIAM SHILLER BARCLAYS CAPE US SECTOR VALUE TR;USCP;EUR
XAD1;Xtrackers Physical Gold EUR Hedged ETC;XAD1;EUR
MA13;Multi Units Luxembourg-Lyxor EUROMTS Highest Rated Macro-Weighted Govt Bond 1-3Y;LYS4;EUR
ETLI;L&G Pharma Breakthrough UCITS ETF;ETLI;EUR
X0CQ;Coba ETC -4x Silver Daily Short;X0CQ;EUR
CGB;Xtrackers II Harvest China Government Bond UCITS ETF;CGB;EUR
UETW;UBS Irl ETF plc - MSCI World UCITS ETF;UETW;EUR
XZEU;Xtrackers ESG MSCI Europe UCITS ETF;XZEU;EUR
SPYB;SPDR MSCI EM Europe UCITS ETF;SPYB;EUR
LYY7;Lyxor DAX DR UCITS ETF;LYY7;EUR
VAGF;Vanguard Global Aggregate Bond UCITS ETF;VAGF;EUR
XUEK;Xtrackers S&P Europe ex UK UCITS ETF;XUEK;EUR
H4ZH;HSBC MSCI PACIFIC EX JAPAN UCITS ETF;H4ZH;EUR
EXV3;iShares STOXX Europe 600 Technology UCITS ETF DE;EXV3;EUR
X0CU;Coba ETN -5x BUNDF Daily Short;X0CU;EUR
MATW;Lyxor MSCI World Materials TR UCITS ETF;LYPH;EUR
TRV;Lyxor STOXX Europe 600 Travel & Leisure UCITS ETF;LTVL;EUR
UIM9;UBS ETF-MSCI Canada UCITS ETF;UIM9;EUR
UBUM;UBS Irl ETF plc - DJ Global Select Dividend UCITS ETF;UBUM;EUR
