Symbol;Name;Symbol2;Currency
TRE7;Invesco US Treasury 3-7 Year UCITS ETF;TRE7;USD
IS15;iShares Corp Bond 0-5yr UCITS ETF GBP Dist;IS15;GBP
IDTM;iShares USD Treasury Bond 7-10yr UCITS ETF;IDTM;USD
ITWN;iShares MSCI Taiwan UCITS ETF;ITWN;GBP
MINV;iShares Edge MSCI World Minimum Volatility UCITS ETF;MINV;GBP
XLYS;Invesco Consumer Discretionary S&P US Select Sector UCITS ETF;XLYS;USD
ISAC;iShares MSCI ACWI UCITS ETF USD Acc;ISAC;USD
IHCU;iShares S&P 500 Health Care Sector UCITS ETF USD Acc;IHCU;GBP
SLXX;iShares Core Corp Bond UCITS ETF GBP Dist;SLXX;GBP
IBTS;iShares USD Treasury Bond 1-3yr UCITS ETF;IBTS;GBP
IUHC;iShares S&P 500 Health Care Sector UCITS ETF USD Acc;IUHC;USD
EUXS;iShares MSCI Europe ex-UK GBP Hedged UCITS ETF Dist;EUXS;GBP
IWFQ;iShares Edge MSCI World Quality Factor UCITS ETF USD Acc;IWFQ;GBP
CORP;iShares Global Corp Bond UCITS ETF;CORP;USD
HEAL;iShares Healthcare Innovation UCITS ETF USD Acc;HEAL;USD
SGEA;iShares Emerging Asia Local Govt Bond UCITS ETF;SGEA;GBP
IKSD;iShares MSCI Saudi Arabia Capped UCITS ETF;IKSD;USD
JG15;JPMorgan BetaBuilders UK Gilt 1-5 YR UCITS ETF;JG15;GBP
WIAU;iShares Fallen Angels High Yield Corp Bond UCITS ETF;WIAU;USD
CHIP;ICBCCS WisdomTree S&P China 500 UCITS ETF;CHIP;GBP
S600;Invesco STOXX Europe 600 UCITS ETF;S600;GBP
LOUF;Ossiam US ESG Low Carbon Equity Factors UCITS ETF;LOUF;GBP
STT;SPDR MSCI Europe Communication Services UCITS ETF;TELE;EUR
IWMO;iShares Edge MSCI World Momentum Factor UCITS ETF USD Acc;IWMO;USD
IEVL;iShares Edge MSCI Europe Value Factor UCITS ETF;IEVL;EUR
DGTL;iShares Digitalisation UCITS ETF USD Acc;DGTL;USD
EMSA;iShares JP Morgan ESG USD EM Bond UCITS ETF;EMSA;USD
HDLV;Invesco S&P 500 High Dividend Low Volatility UCITS ETF;HDLV;USD
IBGZ;iShares EUR Govt Bond 10-15yr UCITS ETF EUR Dist;IBGZ;GBP
CRHG;iShares Global Corp Bond UCITS ETF;CRHG;GBP
ERNS;iShares Ultrashort Bond UCITS ETF GBP Dist;ERNS;GBP
LQDA;iShares USD Corp Bond UCITS ETF;LQDA;USD
SPME;iShares Edge S&P 500 Minimum Volatility UCITS ETF;SPME;EUR
CMB1;iShares FTSE MIB UCITS ETF EUR Acc;CMB1;GBP
T3GB;Invesco US Treasury 1-3 Year UCITS ETF;T3GB;GBP
EMCO;SPDR BofA Merrill Lynch Emerging Market Corporate Bond UCITS ETF;EMCO;USD
EMGA;iShares JP Morgan EM Local Government Bond UCITS ETF;EMGA;USD
JPMB;JPMorgan USD Emerging Markets Sovereign Bond UCITS ETF;JPMB;USD
SXLI;SPDR S&P U.S. Industrials Select Sector UCITS ETF;SXLI;USD
AT1S;Invesco AT1 Capital Bond UCITS ETF;AT1S;GBP
EQDS;iShares MSCI Europe Quality Dividend UCITS ETF;EQDS;GBP
ZISG;BMO MSCI USA Income Leaders GBP Hedged UCITS ETF;ZISG;GBP
JREM;JPMorgan Global Emerging Markets Research Enhanced Index Equity ESG UCITS ETF;JREM;USD
FLEQ;Franklin LibertyQ European Equity UCITS ETF;FLEQ;EUR
CSINDU;iShares Dow Jones Industrial Average UCITS ETF USD Acc;CIND;USD
CSBGE3;iShares EUR Govt Bond 1-3yr UCITS ETF EUR Acc;CBE3;EUR
ICDU;iShares S&P 500 Consumer Discretionary Sector UCITS ETF;ICDU;GBP
XLUP;Invesco Utilities S&P US Select Sector UCITS ETF;XLUP;GBP
TRGB;Invesco US Treasury UCITS ETF;TRGB;GBP
UTIP;SPDR Bloomberg Barclays U.S. TIPS UCITS ETF;UTIP;GBP
PSES;Invesco FTSE RAFI Europe Mid-Small UCITS ETF;PSES;GBP
FLO5;iShares USD Floating Rate Bond UCITS ETF;FLO5;GBP
CNX1;iShares NASDAQ 100 UCITS ETF;CNX1;GBP
EMAS;SPDR MSCI EM Asia UCITS ETF;EMAS;GBP
CSRU;iShares MSCI Russia ADR/GDR UCITS ETF;CSRU;USD
MLPS;Invesco Markets plc - Invesco Morningstar US Energy Infrastructure MLP UCITS ETF;MLPS;USD
ISWD;iShares MSCI World Islamic UCITS ETF USD Dist;ISWD;GBP
IFSU;iShares Edge MSCI USA Multifactor UCITS ETF;IFSU;USD
FAGB;Invesco US High Yield Fallen Angels UCITS ETF;FAGB;GBP
BBRT;JPMorgan BetaBuilders US Treasury Bond UCITS ETF;BBRT;GBP
IHYU;iShares USD High Yield Corp Bond UCITS ETF;IHYU;USD
XLIS;Invesco Industrials S&P US Select Sector UCITS ETF;XLIS;USD
FRGH;iShares France Govt Bond UCITS ETF;FRGH;GBP
USDV;SPDR S&P US Dividend Aristocrats UCITS ETF;USDV;GBP
UKDV;SPDR S&P UK Dividend Aristocrats UCITS ETF;UKDV;GBP
SC0U;Invesco STOXX Europe 600 Optimised Banks UCITS ETF;X7PS;EUR
BBDD;JPMorgan Betabuilders US Equity UCITS ETF;BBDD;GBP
CRPH;iShares Global Corp Bond EUR Hedged UCITS ETF Dist;CRPH;EUR
ISFU;iShares Core FTSE 100 UCITS ETF;ISFU;USD
FRUE;Franklin LibertyQ U.S. Equity UCITS ETF;FRUE;USD
CSKR;iShares MSCI Korea UCITS ETF USD Acc;CSKR;USD
CSSPX;iShares Core S&P 500 UCITS ETF;CSPX;USD
IUKP;iShares UK Property UCITS ETF GBP Dist;IUKP;GBP
ROLL;iShares Bloomberg Roll Select Commodity Swap UCITS ETF;ROLL;USD
CRPA;iShares Global Corp Bond UCITS ETF;CRPA;USD
CSEMUS;iShares MSCI EMU Small Cap UCITS ETF;CEUS;EUR
ISF;iShares Core FTSE 100 UCITS ETF;ISF;GBP
ISP6;iShares S&P Small Cap 600 UCITS ETF USD Dist;ISP6;GBP
EMDD;SPDR Bloomberg Barclays Emerging Markets Local Bond UCITS ETF;EMDD;USD
SAWD;iShares MSCI World ESG Screened UCITS ETF;SAWD;USD
EMIN;SPDR Bloomberg Barclays EM Inflation Linked Local Bond UCITS ETF;EMIN;GBP
TRXG;Invesco US Treasury 7-10 Year UCITS ETF;TRXG;GBP
IGSD;iShares USD Short Duration Corp Bond UCITS ETF;IGSD;GBP
IDJV;iShares Euro Total Market Value Large UCITS ETF EUR Dist;IDJV;GBP
EDVD;SPDR S&P Emerging Markets Dividend UCITS ETF;EDVD;USD
PSRU;Invesco FTSE RAFI UK 100 UCITS ETF;PSRU;GBP
INXG;iShares GBP Index-Linked Gilts UCITS ETF;INXG;GBP
USLV;SPDR S&P 500 Low Volatility UCITS ETF;USLV;GBP
SAUM;iShares MSCI EMU ESG Screened UCITS ETF;SAUM;GBP
MSAP;Invesco MSCI Saudi Arabia UCITS ETF;MSAP;GBP
ZC7G;BMO Barclays 7-10 Year Global Corporate Bond GBP Hedged UCITS ETF;ZC7G;GBP
CEUG;iShares Core MSCI EMU UCITS ETF;CEUG;GBP
SEDY;iShares EM Dividend UCITS ETF USD Dist;SEDY;GBP
TRSY;SPDR Bloomberg Barclays U.S. Treasury Bond UCITS ETF;TRSY;USD
SC0X;Invesco STOXX Europe 600 Optimised Technology UCITS ETF;0MTB;EUR
FSEU;iShares Edge MSCI Europe Multifactor UCITS ETF;FSEU;GBP
FSWD;iShares Edge MSCI World Multifactor UCITS ETF;FSWD;GBP
USVL;SPDR MSCI USA Value UCITS ETF;USVL;USD
USCB;SPDR Bloomberg Barclays U.S. Corporate Bond UCITS ETF;USCB;GBP
X7PP;Invesco STOXX Europe 600 Optimised Banks UCITS ETF;X7PP;GBP
ISFD;iShares Core FTSE 100 UCITS ETF;ISFD;USD
EUCF;iShares EUR Corp Bond Financials UCITS ETF EUR Dist;EUCF;EUR
EMAD;SPDR MSCI EM Asia UCITS ETF;EMAD;USD
ERNA;iShares USD Ultrashort Bond UCITS ETF USD Dist;ERNA;USD
IUCD;iShares S&P 500 Consumer Discretionary Sector UCITS ETF;IUCD;USD
STN;SPDR MSCI Europe Energy UCITS ETF;ENGY;EUR
ZC1G;BMO Bloomberg Barclays 1-3 Year Global Corporate Bond;ZC1G;GBP
CSBGU0;iShares USD Treasury Bond 7-10yr UCITS ETF USD Acc;CBU0;USD
JGST;JPMorgan GBP Ultra-Short Income UCITS ETF;JGST;GBP
IIND;iShares MSCI India UCITS ETF;IIND;GBP
STQ;SPDR MSCI Europe Industrials UCITS ETF;NDUS;EUR
SYBB;SPDR Bloomberg Barclays Euro Government Bond UCITS ETF;GOVY;EUR
IWVG;iShares Edge MSCI World Value Factor UCITS ETF;IWVG;GBP
BBTR;JPMorgan BetaBuilders US Treasury Bond UCITS ETF;BBTR;USD
SPXS;Invesco S&P 500 UCITS ETF;SPXS;USD
XLEP;Invesco Energy S&P US Select Sector UCITS ETF;XLEP;GBP
MXUK;Invesco MSCI Europe ex-UK UCITS ETF;MXUK;GBP
TRS3;SPDR Bloomberg Barclays 1-3 Year U.S. Treasury Bond UCITS ETF;TRS3;USD
IBGY;iShares EUR Govt Bond 5-7yr UCITS ETF EUR Dist;IBGY;GBP
IBZL;iShares MSCI Brazil UCITS ETF USD Dist;IBZL;GBP
BRIC;iShares BRIC 50 UCITS ETF USD Dist;BRIC;GBP
ITPS;iShares USD TIPS UCITS ETF;ITPS;GBP
JREU;JPMorgan US Research Enhanced Index Equity UCITS ETF;JREU;USD
XLCP;Invesco Communications S&P US Select Sector UCITS ETF;XLCP;GBP
IWSZ;iShares Edge MSCI World Size Factor UCITS ETF USD Acc;IWSZ;USD
CEMG;iShares MSCI EM Consumer Growth UCITS ETF USD Acc;CEMG;USD
FRXD;Franklin LibertyQ European Dividend UCITS ETF;FRXD;EUR
IEGZ;iShares EUR Govt Bond 10-15yr UCITS ETF EUR Dist;IEGZ;EUR
JURE;JPMorgan US Research Enhanced Index Equity UCITS ETF;JURE;GBP
JEST;JPMorgan EUR Ultra-Short Income UCITS ETF;JEST;EUR
WHEA;SPDR MSCI World Health Care UCITS ETF;WHEA;USD
EMSM;SPDR MSCI Emerging Markets Small Cap UCITS ETF;EMSM;GBP
XLBS;Invesco Materials S&P US Select Sector UCITS ETF;XLBS;USD
SC0W;Invesco STOXX Europe 600 Optimised Basic Resources UCITS ETF;0MTA;EUR
JPMF;JPMorgan Managed Futures UCITS ETF;JPMF;USD
SPVG;Invesco S&P 500 VEQTOR UCITS ETF;SPVG;GBP
E20Y;iShares EUR Govt Bond 20yr Target Duration UCITS ETF EUR Dist;E20Y;EUR
JPAS;JPMorgan USD Ultra-Short Income UCITS ETF;JPAS;GBP
SDUS;iShares MSCI USA ESG Screened UCITS ETF;SDUS;USD
ICBU;iShares $ Intermediate Credit Bond UCITS ETF;ICBU;USD
IUAA;iShares US Aggregate Bond UCITS ETF;IUAA;USD
ZIEG;BMO MSCI Europe ex-UK Income Leaders GBP Hedged UCITS ETF;ZIEG;GBP
ICOM;iShares Diversified Commodity Swap UCITS ETF;ICOM;USD
BTEE;iShares Nasdaq US Biotechnology UCITS ETF;BTEE;USD
IMV;iShares Edge MSCI Europe Minimum Volatility UCITS ETF;IMV;GBP
WQDS;iShares MSCI World Quality Dividend UCITS ETF;WQDS;GBP
AGGU;iShares Core Global Aggregate Bond UCITS ETF;AGGU;USD
JREE;JPMorgan Europe Research Enhanced Index Equity UCITS ETF;JREE;EUR
IAAA;iShares Global AAA-AA Govt Bond UCITS ETF USD Dist;IAAA;USD
SC0S;Invesco STOXX Europe 600 Optimised Industrial Goods & Services UCITS ETF;0MT6;EUR
EZXU;Invesco STOXX Eurozone Exporters UCITS ETF;EZXU;USD
WOOD;iShares Global Timber & Forestry UCITS ETF USD Dist;WOOD;GBP
FREQ;Franklin LibertyQ European Equity UCITS ETF;FREQ;GBP
GLTP;Invesco UK Gilts UCITS ETF;GLTP;GBP
DRDR;iShares Healthcare Innovation UCITS ETF USD Acc;DRDR;GBP
SXLP;SPDR S&P U.S. Consumer Staples Select Sector UCITS ETF;SXLP;USD
IUAE;iShares US Aggregate Bond UCITS ETF;IUAE;EUR
DLTM;iShares MSCI EM Latin America UCITS ETF USD Dist;DLTM;USD
IMID;SPDR MSCI ACWI IMI UCITS ETF;IMID;USD
IH2O;iShares Global Water UCITS ETF USD Dist;IH2O;GBP
JRBE;JPMorgan EUR Corporate Bond Research Enhanced Index UCITS ETF;JRBE;GBP
IEAG;iShares EUR Aggregate Bond UCITS ETF EUR Dist;IEAG;EUR
EMVL;iShares Edge MSCI EM Value Factor UCITS ETF;EMVL;USD
EFEP;Invesco Goldman Sachs Equity Factor Index Emerging Markets UCITS ETF;EFEP;GBP
ESGW;Invesco MSCI World ESG Universal Screened UCITS ETF;ESGW;USD
WTEC;SPDR MSCI World Technology UCITS ETF;WTEC;USD
S7XP;Invesco EURO STOXX Optimised Banks UCITS ETF;S7XP;GBP
JGRE;JPMorgan Global Research Enhanced Index Equity UCITS ETF;JGRE;GBP
IWQU;iShares Edge MSCI World Quality Factor UCITS ETF USD Acc;IWQU;USD
USTY;SPDR Bloomberg Barclays U.S. Treasury Bond UCITS ETF;USTY;GBP
JREG;JPMorgan Global Research Enhanced Index Equity UCITS ETF;JREG;USD
RTYS;Invesco Russell 2000 UCITS ETF;RTYS;USD
HYLA;iShares Global High Yield Corp Bond UCITS ETF;HYLA;USD
ISXF;iShares Corp Bond ex-Financials UCITS ETF GBP Dist;ISXF;GBP
PSRM;Invesco FTSE RAFI Emerging Markets UCITS ETF;PSRM;GBP
IGLO;iShares Global Govt Bond UCITS ETF;IGLO;USD
BBGE;JPMorgan BetaBuilders EUR Govt Bond UCITS ETF;BBGE;GBP
OMXS;iShares OMX Stockholm Capped UCITS ETF;OMXS;GBP
SPXJ;iShares MSCI Pacific ex-Japan UCITS ETF USD Dist;SPXJ;GBP
IITU;iShares S&P 500 Information Technology Sector UCITS ETF USD Acc;IITU;GBP
SPMV;iShares Edge S&P 500 Minimum Volatility UCITS ETF;SPMV;USD
IJPN;iShares MSCI Japan UCITS ETF USD Dist;IJPN;GBP
FRCH;Franklin FTSE China UCITS ETF;FRCH;GBP
SYB4;SPDR Bloomberg Barclays 3-5 Year Euro Government Bond UCITS ETF;EU35;EUR
ZWUU;BMO Enhanced Income USA Equity UCITS ETF;ZWUU;USD
PADV;SPDR S&P Pan Asia Dividend Aristocrats UCITS ETF;PADV;GBP
SXLC;SPDR S&P U.S. Communication Services Select Sector UCITS ETF;SXLC;USD
IEEM;iShares MSCI EM UCITS ETF USD Dist;IEEM;GBP
IDP6;iShares S&P Small Cap 600 UCITS ETF USD Dist;IDP6;USD
HYGU;iShares EUR High Yield Corp Bond UCITS ETF;HYGU;USD
SUAS;iShares MSCI USA SRI UCITS ETF;SUAS;USD
S250;Invesco FTSE 250 UCITS ETF;S250;GBP
ESGE;Invesco MSCI Europe ESG Universal Screened UCITS ETF;ESGE;GBP
IEQU;iShares Edge MSCI Europe Quality Factor UCITS ETF;IEQU;EUR
EGIL;iShares Global Inflation Linked Govt Bond UCITS ETF;EGIL;EUR
DTLE;iShares USD Treasury Bond 20+yr UCITS ETF;DTLE;EUR
OUFU;Ossiam US ESG Low Carbon Equity Factors UCITS ETF;OUFU;USD
IDJG;iShares Euro Total Market Growth Large UCITS ETF EUR Dist;IDJG;GBP
IEUX;iShares MSCI Europe ex-UK UCITS ETF EUR Dist;IEUX;GBP
MXWS;Invesco MSCI World UCITS ETF;MXWS;GBP
XAAG;Invesco Bloomberg Commodity ex-Agriculture UCITS ETF;0W6Q;EUR
CHIN;ICBCCS WisdomTree S&P China 500 UCITS ETF;CHIN;USD
SGSU;iShares USD Corp Bond 0-3yr ESG UCITS ETF;SGSU;GBP
GBDV;SPDR S&P Global Dividend Aristocrats UCITS ETF;GBDV;GBP
EMUM;iShares MSCI EMU Mid Cap UCITS ETF EUR Acc;EMUM;EUR
TSY3;SPDR Bloomberg Barclays 1-3 Year U.S. Treasury Bond UCITS ETF;TSY3;GBP
EEMB;iShares J.P. Morgan USD EM Bond UCITS ETF;EEMB;EUR
ES15;iShares Corp Bond 0-5yr UCITS ETF GBP Dist;ES15;EUR
XLES;Invesco Energy S&P US Select Sector UCITS ETF;XLES;USD
FSUS;iShares Edge MSCI USA Multifactor UCITS ETF;FSUS;GBP
IEGL;iShares EUR Govt Bond 15-30yr UCITS ETF;IEGL;EUR
IBTL;iShares USD Treasury Bond 20+yr UCITS ETF;IBTL;GBP
GLAB;SPDR Bloomberg Barclays Global Aggregate Bond UCITS ETF;GLAB;GBP
FVUG;Franklin Liberty Euro Green Bond UCITS ETF;FVUG;GBP
IUSZ;iShares Edge MSCI USA Size Factor UCITS ETF;IUSZ;USD
EMV;iShares Edge MSCI EM Minimum Volatility UCITS ETF USD Acc;EMV;GBP
RUSE;ITI Funds RTS Equity UCITS ETF SICAV;RUSE;USD
IEBB;iShares EUR Corp Bond BBB-BB UCITS ETF EUR Dist;IEBB;EUR
EEUD;iShares MSCI Europe ESG Enhanced UCITS ETF;EEUD;GBP
DJSC;iShares EURO STOXX Small UCITS ETF EUR Dist;DJSC;GBP
TRSX;SPDR Bloomberg Barclays 7-10 Year U.S. Treasury Bond UCITS ETF;TRSX;USD
JMFP;JPMorgan Managed Futures UCITS ETF;JMFP;GBP
XLPS;Invesco Consumer Staples S&P US Select Sector UCITS ETF;XLPS;USD
GLT5;Invesco UK Gilt 1-5 Year UCITS ETF;GLT5;GBP
IEBC;iShares Core EUR Corp Bond UCITS ETF;IEBC;GBP
IWFV;iShares Edge MSCI World Value Factor UCITS ETF;IWFV;GBP
SDIG;iShares USD Short Duration Corp Bond UCITS ETF;SDIG;USD
SC0Z;Invesco STOXX Europe 600 Optimised Utilities UCITS ETF;0MTF;EUR
IUMS;iShares S&P 500 Materials Sector UCITS ETF;IUMS;USD
EMCR;iShares JP Morgan USD EM Corp Bond UCITS ETF;EMCR;USD
UDVD;SPDR S&P US Dividend Aristocrats UCITS ETF;UDVD;USD
DGIT;iShares Digitalisation UCITS ETF USD Acc;DGIT;GBP
SHYG;iShares EUR High Yield Corp Bond UCITS ETF;SHYG;GBP
IPXJ;iShares MSCI Pacific ex-Japan UCITS ETF USD Dist;IPXJ;USD
IEMD;iShares Edge MSCI Europe Momentum Factor UCITS ETF;IEMD;EUR
WING;iShares Fallen Angels High Yield Corp Bond UCITS ETF;WING;USD
FXC;iShares China Large Cap UCITS ETF;FXC;GBP
IUMF;iShares Edge MSCI USA Momentum Factor UCITS ETF;IUMF;GBP
CSMXCP;iShares MSCI Mexico Capped UCITS ETF USD Acc;CMXC;USD
ISDE;iShares MSCI EM Islamic UCITS ETF USD Dist;ISDE;USD
AT1;Invesco AT1 Capital Bond UCITS ETF;AT1;USD
IUIS;iShares S&P 500 Industrials Sector UCITS ETF;IUIS;USD
HDEU;Invesco EURO STOXX High Dividend Low Volatility UCITS ETF;HDEU;EUR
FRIN;Franklin FTSE India UCITS ETF;FRIN;GBP
ZWUS;BMO Enhanced Income USA Equity UCITS ETF;ZWUS;GBP
CCAU;iShares MSCI Canada UCITS ETF USD Acc;CCAU;USD
BBUD;JPMorgan Betabuilders US Equity UCITS ETF;BBUD;USD
MVEU;iShares Edge MSCI Europe Minimum Volatility UCITS ETF;MVEU;EUR
IBZL;iShares MSCI Brazil UCITS ETF USD Dist;IDBZ;USD
IEUT;iShares FTSEurofirst 100 UCITS ETF EUR Dist;IEUT;GBP
XLYP;Invesco Consumer Discretionary S&P US Select Sector UCITS ETF;XLYP;GBP
HDEM;Invesco FTSE Emerging Markets High Dividend Low Volatility UCITS ETF;HDEM;GBP
SEDM;iShares MSCI EM IMI ESG Screened UCITS ETF;SEDM;USD
NDIA;iShares MSCI India UCITS ETF;NDIA;USD
IEGY;iShares EUR Govt Bond 5-7yr UCITS ETF EUR Dist;IEGY;EUR
5HED;Ossiam ESG Low Carbon Shiller Barclays Cape US Sector UCITS ETF;5HED;USD
EMCA;iShares JP Morgan USD EM Corp Bond UCITS ETF;EMCA;USD
FLXD;Franklin LibertyQ European Dividend UCITS ETF;FLXD;GBP
UFLP;Invesco USD Floating Rate Note UCITS ETF;UFLP;GBP
WNDU;SPDR MSCI World Industrials UCITS ETF;WNDU;USD
WCOD;SPDR MSCI World Consumer Discretionary UCITS ETF;WCOD;USD
BCHN;Invesco Elwood Global Blockchain UCITS ETF;BCHN;USD
CSBGU3;iShares USD Treasury Bond 1-3yr UCITS ETF USD Acc;CBU3;USD
XLKQ;Invesco Technology S&P US Select Sector UCITS ETF;XLKQ;GBP
GSPX;iShares Core S&P 500 UCITS ETF;GSPX;GBP
IJPD;iShares MSCI Japan USD Hedged UCITS ETF Acc;IJPD;USD
MXWO;Invesco MSCI World UCITS ETF;MXWO;USD
IBGX;iShares EUR Govt Bond 3-5yr UCITS ETF EUR Dist;IBGX;GBP
IWDP;iShares Developed Markets Property Yield UCITS ETF;IDWP;USD
WCOS;SPDR MSCI World Consumer Staples UCITS ETF;WCOS;USD
IWFS;iShares Edge MSCI World Size Factor UCITS ETF USD Acc;IWFS;GBP
GLCB;SPDR Thomson Reuters Global Convertible Bond UCITS ETF;GLCB;GBP
FLOS;iShares USD Floating Rate Bond UCITS ETF;FLOS;GBP
GLBL;SPDR Bloomberg Barclays Global Aggregate Bond UCITS ETF;GLBL;GBP
ISX5;iShares Core EURO STOXX 50 UCITS ETF EUR Acc;ISX5;USD
WNGE;iShares Fallen Angels High Yield Corp Bond UCITS ETF;WNGE;EUR
TRS5;SPDR Bloomberg Barclays 3-7 Year U.S. Treasury Bond UCITS ETF;TRS5;USD
WOSC;SPDR MSCI World Small Cap UCITS ETF;WOSC;GBP
VPAC;Invesco Variable Rate Preferred Shares UCITS ETF;VPAC;USD
EUHD;Invesco EURO STOXX High Dividend Low Volatility UCITS ETF;EUHD;GBP
CUS1;iShares MSCI USA Small Cap UCITS ETF USD Acc;CUS1;GBP
IHYE;iShares USD High Yield Corp Bond UCITS ETF;IHYE;EUR
IISU;iShares S&P 500 Industrials Sector UCITS ETF;IISU;GBP
IKOR;iShares MSCI Korea UCITS ETF USD Dist;IDKO;USD
WMVG;iShares Edge MSCI World Minimum Volatility UCITS ETF;WMVG;GBP
EUN;iShares STOXX Europe 50 UCITS ETF EUR Dist;EUN;GBP
OWLU;Ossiam World Esg Machine Learning UCITS ETF;OWLU;USD
IKSA;iShares MSCI Saudi Arabia Capped UCITS ETF;IKSA;USD
UKCO;SPDR Bloomberg Barclays Sterling Corporate Bond UCITS ETF;UKCO;GBP
GLAU;SPDR Bloomberg Barclays Global Aggregate Bond UCITS ETF;GLAU;USD
TRSG;Invesco US Treasury UCITS ETF;TRSG;GBP
IPOL;iShares MSCI Poland UCITS ETF;IPOL;USD
ZWEE;BMO Enhanced Income Euro Equity UCITS ETF;ZWEE;EUR
S100;Invesco FTSE 100 UCITS ETF;S100;GBP
EFIE;Invesco Goldman Sachs Equity Factor Index Europe UCITS ETF;EFIE;GBP
EMHG;iShares J.P. Morgan USD EM Bond UCITS ETF;EMHG;GBP
IGSU;iShares Dow Jones Global Sustainability Screened UCITS ETF USD Acc;IGSU;USD
IUSA;iShares Core S&P 500 UCITS ETF USD Dist;IUSA;GBP
DTLA;iShares USD Treasury Bond 20+yr UCITS ETF;DTLA;USD
IUQF;iShares Edge MSCI USA Quality Factor UCITS ETF;IUQF;GBP
HYLD;iShares Global High Yield Corp Bond UCITS ETF;HYLD;USD
ACWD;SPDR MSCI ACWI UCITS ETF;ACWD;USD
FAHY;Invesco US High Yield Fallen Angels UCITS ETF;FAHY;GBP
WMAT;SPDR MSCI World Materials UCITS ETF;WMAT;USD
STW;SPDR MSCI Europe Health Care UCITS ETF;HLTH;EUR
MXEU;Invesco MSCI Europe UCITS ETF;MXEU;GBP
IJPU;iShares MSCI Japan UCITS ETF USD Dist;IJPU;USD
STR1;SPDR MSCI Europe Consumer Discretionary UCITS ETF;CDIS;EUR
IMEU;iShares Core MSCI Europe UCITS ETF;IMEU;GBP
IUGA;iShares US Aggregate Bond UCITS ETF;IUGA;GBP
CRPU;iShares Global Corp Bond UCITS ETF;CRPU;USD
CSUKX;iShares Core FTSE 100 UCITS ETF GBP Acc;CUKX;GBP
FLXK;Franklin FTSE Korea UCITS ETF;FLXK;USD
SMBS;iShares US Mortgage Backed Securities UCITS ETF;SMBS;GBP
SC02;Invesco STOXX Europe 600 Optimised Financial Services UCITS ETF;0MTI;EUR
ISUS;iShares MSCI USA Islamic UCITS ETF USD Dist;ISUS;GBP
RDXS;Invesco RDX UCITS ETF;RDXS;USD
IAUS;iShares MSCI Australia UCITS ETF USD Acc;IAUS;USD
EUDV;SPDR S&P Euro Dividend Aristocrats UCITS ETF;EUDV;GBP
IUKD;iShares UK Dividend UCITS ETF GBP Dist;IUKD;GBP
SAJP;iShares MSCI Japan ESG Screened UCITS ETF;SAJP;USD
IMIB;iShares FTSE MIB UCITS ETF EUR Dist;IMIB;GBP
FLRK;Franklin FTSE Korea UCITS ETF;FLRK;GBP
