Symbol;Name;Symbol2;Currency
IHHG;iShares USD High Yield Corp Bond UCITS ETF;IHHG;GBP
IUSF;iShares Edge MSCI USA Size Factor UCITS ETF;IUSF;GBP
IITB;iShares Italy Govt Bond UCITS ETF;IITB;EUR
SXLB;SPDR S&P U.S. Materials Select Sector UCITS ETF;SXLB;USD
R2SC;SPDR Russell 2000 U.S. Small Cap UCITS ETF;R2SC;GBP
SAUS;iShares MSCI Australia UCITS ETF USD Acc;SAUS;GBP
TP05;iShares USD TIPS 0-5 UCITS ETF;TP05;GBP
SUSJ;iShares MSCI Japan SRI EUR Hedged UCITS ETF Acc;SUSJ;EUR
IGHY;iShares Global High Yield Corp Bond UCITS ETF;IGHY;GBP
IBGS;iShares EUR Govt Bond 1-3yr UCITS ETF EUR Dist;IEGS;EUR
CSCA;iShares MSCI Canada UCITS ETF USD Acc;CSCA;GBP
IUSP;iShares US Property Yield UCITS ETF USD Dist;IUSP;GBP
J13E;JPMorgan BetaBuilders EUR Govt Bond 1-3 yr UCITS ETF;J13E;GBP
WTEL;SPDR MSCI World Communications Service UCITS ETF;WTEL;USD
ESGU;Invesco MSCI USA ESG Universal Screened UCITS ETF;ESGU;USD
SDUE;iShares MSCI Europe ESG Screened UCITS ETF;SDUE;GBP
IFSD;iShares Edge MSCI Europe Multifactor UCITS ETF;IFSD;EUR
ZPRL;SPDR EURO STOXX Low Volatility UCITS ETF;ELOW;EUR
LQEE;iShares USD Corp Bond UCITS ETF;LQEE;EUR
CSBGE7;iShares EUR Govt Bond 3-7yr UCITS ETF EUR Acc;CBE7;EUR
IKOR;iShares MSCI Korea UCITS ETF USD Dist;IKOR;GBP
ICSU;iShares S&P 500 Consumer Staples Sector UCITS ETF;ICSU;GBP
FLXX;Franklin LibertyQ Global Dividend UCITS ETF;FLXX;GBP
JPSA;JPMorgan USD Ultra-Short Income UCITS ETF;JPSA;USD
IBGM;iShares EUR Govt Bond 7-10yr UCITS ETF EUR Dist;IBGM;GBP
AT1P;Invesco AT1 Capital Bond UCITS ETF;AT1P;GBP
IEUR;iShares FTSEurofirst 80 UCITS ETF EUR Dist;IEUR;GBP
SUKC;SPDR Bloomberg Barclays 0-5 Year Sterling Corporate Bond UCITS ETF;SUKC;GBP
JRBU;JPMorgan USD Corporate Bond Research Enhanced Index UCITS ETF;JRBU;GBP
SJNK;SPDR Bloomberg Barclays 0-5 Year U.S. High Yield Bond UCITS ETF;SJNK;USD
EUSV;SPDR MSCI Europe Small Cap Value Weighted UCITS ETF;EUSV;GBP
