,Unnamed: 0,date,open,high,low,close,volume
0,0,2012-03-16,10.04,10.09,10.02,10.07,-1
1,1,2012-03-19,10.08,10.12,10.045,10.105,-1
2,2,2012-03-20,10.05,10.055,9.97,9.98,-1
3,3,2012-03-21,9.99,10.0,9.94,9.975,-1
4,4,2012-03-22,9.91,9.915,9.83,9.835,-1
5,5,2012-03-23,9.91,9.97,9.895,9.95,-1
6,6,2012-03-26,9.95,10.015,9.92,10.005,-1
7,7,2012-03-27,9.965,10.0,9.94,9.95,-1
8,8,2012-03-28,9.9,9.91,9.835,9.85,-1
9,9,2012-03-29,9.8125,9.8275,9.695,9.7075,-1
10,10,2012-03-30,9.6825,9.82,9.675,9.8075,-1
11,11,2012-04-02,9.8175,9.88,9.7575,9.87,-1
12,12,2012-04-03,9.9,9.9325,9.8675,9.925,-1
13,13,2012-04-04,9.845,9.8475,9.7325,9.7575,-1
14,14,2012-04-05,9.745,9.77,9.71,9.755,-1
15,15,2012-04-10,9.735,9.745,9.6425,9.6625,-1
16,16,2012-04-11,9.6075,9.65,9.5875,9.6275,-1
17,17,2012-04-12,9.65,9.745,9.6425,9.74,-1
18,18,2012-04-13,9.7175,9.725,9.6225,9.6275,-1
19,19,2012-04-16,9.53,9.59,9.5275,9.5275,-1
20,20,2012-04-17,9.5225,9.58,9.5225,9.5675,-1
21,21,2012-04-18,9.5425,9.545,9.4475,9.4525,-1
22,22,2012-04-19,9.4925,9.5275,9.46,9.4875,-1
23,23,2012-04-20,9.4875,9.535,9.4775,9.52,-1
24,24,2012-04-23,9.4975,9.5,9.425,9.4675,-1
25,25,2012-04-24,9.5175,9.5675,9.5125,9.5525,-1
26,26,2012-04-25,9.5375,9.59,9.51,9.52,-1
27,27,2012-04-26,9.575,9.65,9.575,9.63,-1
28,28,2012-04-27,9.585,9.6875,9.585,9.6625,-1
29,29,2012-04-30,9.695,9.6975,9.6275,9.6625,-1
30,30,2012-05-02,9.73,9.735,9.6425,9.6475,-1
31,31,2012-05-03,9.5875,9.5925,9.5225,9.55,-1
32,32,2012-05-04,9.545,9.5475,9.38,9.4,-1
33,33,2012-05-07,9.395,9.4475,9.3925,9.4075,-1
34,34,2012-05-08,9.45,9.45,9.305,9.33,-1
35,35,2012-05-09,9.36,9.365,9.29,9.345,-1
36,36,2012-05-10,9.385,9.395,9.33,9.3575,-1
37,37,2012-05-11,9.2675,9.325,9.26,9.3225,-1
38,38,2012-05-14,9.2225,9.225,9.135,9.1625,-1
39,39,2012-05-15,9.17,9.215,9.1525,9.1575,-1
40,40,2012-05-16,9.1175,9.25,9.0925,9.205,-1
41,41,2012-05-17,9.28,9.2925,9.2375,9.26,-1
42,42,2012-05-18,9.275,9.3825,9.2625,9.3625,-1
43,43,2012-05-21,9.39,9.425,9.325,9.34,-1
44,44,2012-05-22,9.35,9.3625,9.2775,9.3325,-1
45,45,2012-05-23,9.175,9.185,9.07,9.11,-1
46,46,2012-05-24,9.155,9.2,9.1125,9.165,-1
47,47,2012-05-25,9.13,9.155,9.1075,9.1225,-1
48,48,2012-05-28,9.135,9.145,9.115,9.1175,-1
49,49,2012-05-29,9.155,9.175,9.095,9.13,-1
50,50,2012-05-30,8.9875,8.9875,8.865,8.87,-1
51,51,2012-05-31,8.885,8.915,8.8225,8.8575,-1
52,52,2012-06-01,8.795,8.8,8.6775,8.7525,-1
53,53,2012-06-04,8.6625,8.775,8.655,8.7475,-1
54,54,2012-06-05,8.8,8.815,8.7275,8.7775,-1
55,55,2012-06-06,8.855,8.92,8.8425,8.905,-1
56,56,2012-06-07,8.87,9.0,8.86,8.865,-1
57,57,2012-06-08,8.755,8.8275,8.7225,8.81,-1
58,58,2012-06-11,8.92,8.92,8.82,8.825,-1
59,59,2012-06-12,8.7925,8.8425,8.77,8.82,-1
60,60,2012-06-13,8.795,8.8255,8.745,8.775,-1
61,61,2012-06-14,8.745,8.84,8.72,8.835,-1
62,62,2012-06-15,8.8975,8.9075,8.85,8.87,-1
63,63,2012-06-18,8.9075,8.9075,8.825,8.885,-1
64,64,2012-06-19,8.96,9.0475,8.9325,9.0325,-1
65,65,2012-06-20,9.0375,9.055,8.945,8.97,-1
66,66,2012-06-21,8.895,8.9075,8.845,8.865,-1
67,67,2012-06-22,8.75,8.8475,8.74,8.835,-1
68,68,2012-06-25,8.895,8.9425,8.875,8.9325,-1
69,69,2012-06-26,8.9825,9.0025,8.9425,8.9525,-1
70,70,2012-06-27,9.0025,9.13,8.975,9.09,-1
71,71,2012-06-28,9.0825,9.0975,8.9625,8.9725,-1
72,72,2012-06-29,9.0875,9.2125,9.0775,9.2025,-1
73,73,2012-07-02,9.2875,9.31,9.2475,9.26,-1
74,74,2012-07-03,9.3725,9.53,9.37,9.515,-1
75,75,2012-07-04,9.53,9.5475,9.51,9.5175,-1
76,76,2012-07-05,9.515,9.6105,9.4975,9.6005,-1
77,77,2012-07-06,9.55,9.58,9.4375,9.445,-1
78,78,2012-07-09,9.4925,9.58,9.4675,9.5525,-1
79,79,2012-07-10,9.525,9.56,9.475,9.505,-1
80,80,2012-07-11,9.45,9.55,9.445,9.4875,-1
81,81,2012-07-12,9.4525,9.46,9.3925,9.4275,-1
82,82,2012-07-13,9.5575,9.6505,9.5525,9.6075,-1
83,83,2012-07-16,9.6775,9.705,9.6525,9.685,-1
84,84,2012-07-17,9.7125,9.74,9.6425,9.6825,-1
85,85,2012-07-18,9.68,9.7625,9.625,9.725,-1
86,86,2012-07-19,9.8725,9.9655,9.8725,9.94,-1
87,87,2012-07-20,9.9875,9.9955,9.935,9.955,-1
88,88,2012-07-23,9.9125,9.9125,9.76,9.8775,-1
89,89,2012-07-24,9.81,9.815,9.725,9.7325,-1
90,90,2012-07-25,9.725,9.8305,9.7125,9.755,-1
91,91,2012-07-26,9.7525,9.8605,9.715,9.765,-1
92,92,2012-07-27,9.7975,9.86,9.7725,9.84,-1
93,93,2012-07-30,9.9,9.96,9.885,9.94,-1
94,94,2012-07-31,9.98,10.0255,9.915,9.955,-1
95,95,2012-08-01,9.905,9.905,9.7925,9.8,-1
96,96,2012-08-02,9.82,9.835,9.6425,9.6625,-1
97,97,2012-08-03,9.6575,9.8225,9.6325,9.82,-1
98,98,2012-08-06,9.7175,9.7775,9.7075,9.7725,-1
99,99,2012-08-07,9.7875,9.86,9.785,9.85,-1
100,100,2012-08-08,9.78,9.8405,9.78,9.8225,-1
101,101,2012-08-09,9.87,9.965,9.8475,9.94,-1
102,102,2012-08-10,9.8775,9.8825,9.8,9.8275,-1
103,103,2012-08-13,9.7775,9.7925,9.705,9.7225,-1
104,104,2012-08-14,9.7325,9.7475,9.675,9.69,-1
105,105,2012-08-15,9.7275,9.7355,9.6775,9.71,-1
106,106,2012-08-16,9.72,9.7775,9.7125,9.7675,-1
107,107,2012-08-17,9.7625,9.8075,9.7475,9.8075,-1
108,108,2012-08-20,9.8025,9.8405,9.7725,9.835,-1
109,109,2012-08-21,9.8875,10.005,9.8825,9.99,-1
110,110,2012-08-22,9.97,10.015,9.9325,9.995,-1
111,111,2012-08-23,10.055,10.065,10.015,10.035,-1
112,112,2012-08-24,9.9775,10.035,9.9625,9.975,-1
113,113,2012-08-27,10.015,10.0255,9.91,9.93,-1
114,114,2012-08-28,9.86,9.905,9.855,9.885,-1
115,115,2012-08-29,9.8575,9.9,9.8525,9.8925,-1
116,116,2012-08-30,9.92,9.955,9.895,9.92,-1
117,117,2012-08-31,9.9175,9.9575,9.89,9.955,-1
118,118,2012-09-03,10.005,10.025,9.985,10.025,-1
119,119,2012-09-04,10.065,10.085,10.035,10.065,-1
120,120,2012-09-05,9.995,10.025,9.975,9.985,-1
121,121,2012-09-06,9.9775,10.025,9.965,10.025,-1
122,122,2012-09-07,9.97,10.045,9.97,10.04,-1
123,123,2012-09-10,10.085,10.125,10.075,10.11,-1
124,124,2012-09-11,10.095,10.18,10.085,10.16,-1
125,125,2012-09-12,10.195,10.23,10.14,10.165,-1
126,126,2012-09-13,10.195,10.255,10.185,10.205,-1
127,127,2012-09-14,10.365,10.435,10.355,10.415,-1
128,128,2012-09-17,10.335,10.345,10.245,10.26,-1
129,129,2012-09-18,10.135,10.165,10.085,10.145,-1
130,130,2012-09-19,10.14,10.16,10.035,10.05,-1
131,131,2012-09-20,9.9875,10.035,9.955,10.01,-1
132,132,2012-09-21,10.055,10.1,10.03,10.065,-1
133,133,2012-09-24,10.015,10.025,9.955,9.985,-1
134,134,2012-09-25,10.015,10.085,10.015,10.055,-1
135,135,2012-09-26,10.005,10.005,9.885,9.925,-1
136,136,2012-09-27,9.9625,10.015,9.955,9.98,-1
137,137,2012-09-28,10.075,10.12,10.025,10.08,-1
138,138,2012-10-01,10.11,10.235,10.105,10.175,-1
139,139,2012-10-02,10.185,10.215,10.125,10.165,-1
140,140,2012-10-03,10.115,10.13,10.03,10.04,-1
141,141,2012-10-04,10.095,10.16,10.095,10.11,-1
142,142,2012-10-05,10.145,10.16,10.095,10.1,-1
143,143,2012-10-08,10.03,10.055,9.995,10.04,-1
144,144,2012-10-09,10.075,10.1,10.035,10.045,-1
145,145,2012-10-10,10.085,10.095,10.045,10.065,-1
146,146,2012-10-11,10.045,10.185,10.045,10.175,-1
147,147,2012-10-12,10.105,10.125,10.025,10.03,-1
148,148,2012-10-15,9.9625,9.98,9.865,9.88,-1
149,149,2012-10-16,9.9675,9.975,9.925,9.9325,-1
150,150,2012-10-17,9.9625,9.99,9.9375,9.98,-1
151,151,2012-10-18,10.035,10.04,9.9675,10.03,-1
152,152,2012-10-19,10.04,10.085,10.025,10.04,-1
