Symbol;Name;Symbol2;Currency
INFG;Lyxor USD 10Y Inflation Expectations UCITS ETF;INFG;GBP
E570;ComStage CBK 10Y US-Treasury Future TR UCITS ETF;0HDV;EUR
EUP5;ETFS 5x Long EUR Short GBP;EUP5;GBP
CBSUSE;UBS ETF - Bloomberg Barclays MSCI US Liquid Corporates Sustainable UCITS ETF;0HD8;EUR
UHYG;Lyxor BofAML USD High Yield Bond UCITS ETF;UHYG;GBP
HKDU;UBS ETF MSCI Hong Kong UCITS ETF;0HCV;USD
UQLTH;UBS Irl ETF plc - Factor MSCI USA Quality UCITS ETF;UQLT;GBP
XDPG;Xtrackers S&P 500 UCITS ETF;XDPG;GBP
HUKX;HSBC FTSE 100 UCITS ETF;HUKX;GBP
AUCO;L&G Gold Mining UCITS ETF;AUCO;USD
KBA;KraneShares MSCI China A Shares UCITS ETF;KBA;USD
QUID;PIMCO Sterling Short Maturity Source UCITS ETF;QUID;GBP
0KQK;ProShares Ultra Financials;0KQK;USD
ROAI;Lyxor Robotics & AI UCITS ETF;ROAI;USD
SJP3;ETFS 3x Short JPY Long USD;SJP3;USD
EL42;Deka MSCI Europe UCITS ETF;0MQ1;EUR
LCUS;Lyxor Core Morningstar US DR UCITS ETF;LCUS;GBP
STIM;ETFS 1X Daily Short Tin;STIM;USD
DGRA;WisdomTree US Quality Dividend Growth UCITS ETF;DGRA;USD
MLPX;L&G US Energy Infrastructure MLP UCITS ETF;MLPX;GBP
XFRM;ETFS Ex-Agriculture & Livestock;XFRM;USD
DBXQ;Xtrackers II Eurozone Government Bond 3-5 UCITS ETF;0MUE;EUR
XAGG;L&G Longer Dated All Commodities ex-Agriculture and Livestock UCITS ETF;XAGG;GBP
HMJP;HSBC MSCI JAPAN UCITS ETF;HMJP;GBP
USAUK;UBS Irl ETF plc - MSCI USA UCITS ETF;0Y43;USD
3CRS;ETFS 3x Daily Short WTI Crude Oil;3CRS;USD
XESC;Xtrackers Euro Stoxx 50 UCITS ETF;XESC;GBP
SG47;SG GOLD X3 DAILY SHORT/new;SG47;USD
XDJP;Xtrackers Nikkei 225 UCITS ETF;XDJP;GBP
AGAP;ETFS Agriculture;AGAP;GBP
U57G;Lyxor Core iBoxx USD Treasuries 5-7Y DR UCITS ETF;U57G;GBP
S2EUAH;UBS ETF - MSCI Switzerland 20/35 hedged to EUR UCITS ETF;0HBV;EUR
DXS0;Xtrackers SLI UCITS ETF;0H6L;EUR
SGLD;Invesco Physical Gold ETC;SGLD;USD
DOSH;Lyxor FTSE UK Quality Low Vol Dividend DR UCITS ETF;DOSH;GBP
USP5;ETFS 5x Long USD Short GBP;USP5;GBP
E905;ComStage 1 SDAX UCITS ETF;0W77;EUR
CS1;Amundi ETF MSCI Spain UCITS ETF;CS1;GBP
XSCD;Xtrackers MSCI USA Consumer Dcretionary UCITS ETF;XSCD;GBP
SLCT;ETFS 1X Daily Short Live Cattle;SLCT;USD
SSOB;ETFS 1X Daily Short Soybeans;SSOB;USD
UBUB;UBS Irl ETF plc - Solactive Global Oil Equities UCITS ETF;0Y2M;EUR
SZIC;ETFS 1X Daily Short Zinc;SZIC;USD
3GIL;BOOST GILTS 10Y 3X LEVERAGE;3GIL;GBP
INTL;WisdomTree Artificial Intelligence UCITS ETF;INTL;GBP
SLHO;ETFS 1X Daily Short Lean Hogs;SLHO;USD
FEQP;Fidelity Europe Quality Income UCITS ETF;FEQP;GBP
SINP;ETFS Short INR Long USD USD;SINP;GBP
PUS3;ETFS 3x Short USD Long GBP;PUS3;GBP
0JF2;iShares MSCI Germany ETF;0JF2;USD
SG90;SG S&P x3 DAILY LONG;SG90;USD
AIGX;ETFS Ex-Energy;AIGX;USD
SG46;SG GOLD X3 DAILY LONG/new;SG46;USD
UB74;UBS ETF - Bloomberg Barclays US 1-3 Year Treasury Bond UCITS ETF;UB74;GBP
XDUS;Xtrackers MSCI USA UCITS ETF;XDUS;GBP
SIME;ETFS 1X Daily Short Industrial Metals;SIME;USD
HEDK;WisdomTree Europe Equity UCITS ETF;HEDK;USD
SG50;SG SILVER X5 DAILY LONG;SG50;GBP
EUUSBH;UBS ETF - MSCI EMU hedged to USD UCITS ETF;0MW3;USD
PBRT;ETFS GBP Daily Hedged Brent Crude Oil;PBRT;GBP
KRWL;Lyxor MSCI Korea UCITS ETF;KRWL;GBP
ISPY;L&G Cyber Security UCITS ETF;ISPY;GBP
UD05;UBS ETF-Factor MSCI EMU Total Shareholder Yield UCITS ETF;UD05;GBP
0LNF;Vanguard Russell 1000;0LNF;USD
SS1EUA;UBS ETF - Bloomberg Barclays EUR Treasury 1-10 UCITS ETF;0HOV;EUR
IS07;iShares Edge MSCI World Multifactor UCITS ETF;0Y8Q;EUR
HEWA;HSBC Economic Scale Worldwide Equity UCITS ETF;HEWA;GBP
XIEE;Xtrackers MSCI Europe UCITS ETF;0HDF;EUR
3CFS;ETFS 3x Daily Short Coffee;3CFS;USD
3BSR;Boost Brent Oil 3x Short Daily ETP;3BSR;GBP
SG68;SG JPYUSD x5 DAILY LONG;SG68;USD
2JPM;Leverage Shares 2x JPMorgan ETP;2JPM;GBP
HEAF;ETFS Longer Dated Heating Oil;HEAF;USD
LGGL;L&G Global Equity UCITS ETF;LGGL;USD
CHGB;ETFS Short CHF Long GBP;CHGB;GBP
