;Currency;Exchange;Name;Symbol;Symbol2
0;EUR;FWB;Collateralized ETC on RICI Enhanced Gas Oil TR Index;BNQF;BNQF
1;EUR;FWB;Lyxor Euro Corporate Bond Ex Financials UCITS ETF;CNB;LYBF
2;EUR;FWB;UBS ETF - MSCI Emerging Markets Socially Responsible UCITS ETF;UEF5;UEF5
3;EUR;FWB;BNP Paribas Easy Barclays Euro Government Inflation Linked All Maturities ETF;GOMA;GOMA
4;EUR;FWB;Coba ETC -2 x Platinum Daily Short Index;X0BM;X0BM
5;EUR;FWB;Lyxor Barclays Floating Rate Euro 0-7Y UCITS ETF;FLOT;NK4L
6;EUR;FWB;Coba ETC 2x Gasoil Daily Long Index;X0E2;X0E2
7;EUR;FWB;L&G Ecommerce Logistics UCITS ETF;ETLH;ETLH
8;EUR;FWB;ComStage ETF PSI 20 Leverage UCITS ETF;PP2;CD48
9;EUR;FWB;Xtrackers II Italy Government Aggregate Bond Swap UCITS ETF;XBO3;XBO3
10;EUR;FWB;WisdomTree Japan Equity UCITS ETF;WTIZ;WTIZ
11;EUR;FWB;ETFS Long CHF Short EUR;XBJA;XBJA
12;EUR;FWB;Xetra-Gold;4GLD;4GLD
13;EUR;FWB;Boost WTI Oil 2x Leverage Daily ETP;2OIL;2OIL
14;EUR;FWB;Xtrackers MSCI EMU Minimum Volatility UCITS ETF;XMVE;XMVE
15;EUR;FWB;BNP PARIBAS EASY Equity Quality Europe UCITS ETF;EQUA;QUEU
16;EUR;FWB;Coba ETC 1x Brent Oil Daily Long;X0C1;X0C1
17;EUR;FWB;Deka DAX ausschuettend UCITS ETF;EL4F;EL4F
18;EUR;FWB;WisdomTree US Equity Income UCITS ETF;WTDY;WTDY
19;EUR;FWB;ETFS EUR Daily Hedged Wheat;00XS;00XS
20;EUR;FWB;Xtrackers II Eurozone Government Bond 1-3 UCITS ETF;X03B;X03B
21;EUR;FWB;ComStage 1 DivDAX UCITS ETF;E903;E903
22;EUR;FWB;Amundi ETF DAX UCITS ETF DR;CG1;CG1G
23;EUR;FWB;Deka DB EUROGOV Germany 1-3 UCITS ETF;EL4S;EL4S
24;EUR;FWB;ComStage ETF FR EURO STOXX 50 UCITS ETF;C054;C054
25;EUR;FWB;Market Access NYSE Arca Gold Bugs Index UCITS ETF;M9SD;M9SD
26;EUR;FWB;Xtrackers II US Treasuries Inflation-Linked UCITS ETF;D5BF;D5BF
27;EUR;FWB;Coba ETC 3x Cocoa Daily Long;X0BB;X0BB
28;EUR;FWB;WisdomTree Global Quality Dividend Growth UCITS ETF;WTEM;WTEM
29;EUR;FWB;Amundi Index MSCI World SRI UCITS ETF DR;WSRI;XAMB
30;EUR;FWB;Deka DB EUROGOV Germany MM UCITS ETF;EL4W;EL4W
31;EUR;FWB;BOOST GOLD 3X SHORT DAILY;PCFN;PCFN
32;EUR;FWB;Amundi Index MSCI Japan UCITS ETF DR;CJ1;J1GR
33;EUR;FWB;ComStage ETF Commerzbank Bund-Future TR UCITS ETF;5X60;5X60
34;EUR;FWB;BNP Paribas Easy Equity Dividend US UCIITS ETF;DIUS;DIUS
35;EUR;FWB;Fidelity Europe Quality Income UCITS ETF;FEUQ;FEUQ
36;EUR;FWB;ETFS Petroleum;OD72;OD72
37;EUR;FWB;L&G Longer Dated All Commodities UCITS ETF;ETL2;ETL2
38;EUR;FWB;WisdomTree Emerging Asia Equity Income UCITS ETF;WTEA;WTEA
39;EUR;FWB;ComStage ETF Commerzbank EONIA Index TR UCITS ETF;C100;C100
40;EUR;FWB;Xtrackers FTSE China 50 UCITS ETF;DBX9;DBX9
41;EUR;FWB;OSSIAM SHILLER BARCLAYS CAPE US SECTOR VALUE TR;CAPU;USCP
42;EUR;FWB;Xtrackers Physical Gold EUR Hedged ETC;XAD1;XAD1
43;EUR;FWB;Multi Units Luxembourg-Lyxor EUROMTS Highest Rated Macro-Weighted Govt Bond 1-3Y;MA13;LYS4
44;EUR;FWB;L&G Pharma Breakthrough UCITS ETF;ETLI;ETLI
45;EUR;FWB;Coba ETC -4x Silver Daily Short;X0CQ;X0CQ
46;EUR;FWB;Xtrackers II Harvest China Government Bond UCITS ETF;CGB;CGB
47;EUR;FWB;UBS Irl ETF plc - MSCI World UCITS ETF;UETW;UETW
48;EUR;FWB;Xtrackers ESG MSCI Europe UCITS ETF;XZEU;XZEU
49;EUR;FWB;SPDR MSCI EM Europe UCITS ETF;SPYB;SPYB
50;EUR;FWB;Lyxor DAX DR UCITS ETF;LYY7;LYY7
51;EUR;FWB;Vanguard Global Aggregate Bond UCITS ETF;VAGF;VAGF
52;EUR;FWB;Xtrackers S&P Europe ex UK UCITS ETF;XUEK;XUEK
53;EUR;FWB;HSBC MSCI PACIFIC EX JAPAN UCITS ETF;H4ZH;H4ZH
54;EUR;FWB;iShares STOXX Europe 600 Technology UCITS ETF DE;EXV3;EXV3
55;EUR;FWB;Coba ETN -5x BUNDF Daily Short;X0CU;X0CU
56;EUR;FWB;Lyxor MSCI World Materials TR UCITS ETF;MATW;LYPH
57;EUR;FWB;Lyxor STOXX Europe 600 Travel & Leisure UCITS ETF;TRV;LTVL
58;EUR;FWB;UBS ETF-MSCI Canada UCITS ETF;UIM9;UIM9
59;EUR;FWB;UBS Irl ETF plc - DJ Global Select Dividend UCITS ETF;UBUM;UBUM
60;EUR;FWB;Deka Oekom Euro Nachhaltigkeit UCITS ETF;ELFB;ELFB
61;EUR;FWB;Deka DB EUROGOV Germany UCITS ETF;EL4R;EL4R
62;EUR;FWB;Deka STOXX Europe Strong Style Composite 40 UCITS ETF;EL4E;EL4E
63;EUR;FWB;BNP Paribas Easy S&P 500 UCITS ETF;ESE;ESEE
64;EUR;FWB;Xtrackers MSCI World Energy UCITS ETF;XDW0;XDW0
65;EUR;FWB;ComStage MDAX TR UCITS ETF;C007;C007
66;EUR;FWB;iShares Core EURO STOXX 50 UCITS ETF DE;EXW1;EXW1
67;EUR;FWB;HSBC MSCI EMERGING MARKETS UCITS ETF;H410;H410
68;EUR;FWB;ComStage ETF STOXX Europe 600 Health Care NR UCITS ETF;C068;C068
69;EUR;FWB;Lyxor MSCI Thailand UCITS ETF;THA;LYXT
70;EUR;FWB;Xtrackers Portfolio UCITS ETF;DBX0;DBX0
71;EUR;FWB;iShares MDAX UCITS ETF DE;EXS3;EXS3
72;EUR;FWB;Coba ETN -2x HSCEIF Daily Short;X0CD;X0CD
73;EUR;FWB;Gold Bullion Securities Ltd;GG9B;GG9B
74;EUR;FWB;Lyxor STOXX Europe 600 Healthcare UCITS ETF;HLT;LHTC
75;EUR;FWB;Coba ETC -1x Brent Oil Daily Short;X0C3;X0C3
76;EUR;FWB;Xtrackers II EUR Overnight Rate Swap UCITS ETF;DBXT;DBXT
77;EUR;FWB;Coba ETN -3x DJIAF Daily Short;X0DJ;X0DJ
78;EUR;FWB;Xtrackers USD Emerging Markets Bond Quality Weighted UCITS ETF;XQUA;XQUA
79;EUR;FWB;HAN-GINS Cloud Technology UCITS ETF;5XYE;5XYE
80;EUR;FWB;ComStage ETF ShortDAX TR UCITS ETF;C004;C004
81;EUR;FWB;AMUNDI PRIME EURO GOVIES UCITS ETF DR;PR1R;PR1R
82;EUR;FWB;Xtrackers II Eurozone Government Bond UCITS ETF;DBXN;DBXN
83;EUR;FWB;Amundi ETF MSCI Europe Banks UCITS ETF;CB5;18M3
84;EUR;FWB;iShares STOXX Global Select Dividend 100 UCITS DE;ISPA;ISPA
85;EUR;FWB;ComStage CBK Commodity ex-Agriculture Monthly EUR Hedged UCITS ETF;C099;C099
86;EUR;FWB;Xtrackers MSCI USA Energy UCITS ETF;XUEN;XUEN
87;EUR;FWB;Xtrackers II US Treasuries UCITS ETF;XUTD;XUTD
88;EUR;FWB;Coba ETN 1x SX5EF Daily Long;X04A;X04A
89;EUR;FWB;UBS Irl ETF plc - MSCI USA hedged to EUR UCITS ETF;USEUWH;UBUJ
90;EUR;FWB;L&G DAX Daily 2x Short UCITS ETF;DES2;DES2
91;EUR;FWB;Lyxor J.P. Morgan Multi-Factor Europe Index UCITS ETF;LYX5;LYX5
92;EUR;FWB;ComStage MSCI Spain TRN UCITS ETF;C033;C033
93;EUR;FWB;THINK Morningstar High Dividend UCITS ETF;TDIV;VDIV
94;EUR;FWB;ETFS 1X Daily Short Natural Gas;4RTD;4RTD
95;EUR;FWB;UBS ETFs PLC - Bloomberg Commodity CMCI SF UCITS ETF;BCFE;BCFE
96;EUR;FWB;ETFS Brent Crude;OOEA;OOEA
97;EUR;FWB;Lyxor EUROMTS Highest Rated Macro-Weighted Govt Bond 5-7Y UCITS ETF;MA57;LYS6
98;EUR;FWB;Lyxor MSCI EM Asia UCITS ETF;LCUA;LCUA
99;EUR;FWB;Lyxor Nasdaq-100 UCITS ETF;UST;LYMS
100;EUR;FWB;ETFS 5x Long USD Short EUR;5CH5;5CH5
101;EUR;FWB;ETFS Longer Dated Agriculture;9GAL;9GAL
102;EUR;FWB;Coba ETN -3x SPXF Daily Short;X0DN;X0DN
103;EUR;FWB;BNP PARIBAS EASY Equity Value Europe UCITS ETF;VALD;VALD
104;EUR;FWB;WisdomTree Europe Equity UCITS ETF;WTDH;WTDH
105;EUR;FWB;UBS ETF - Bloomberg Barclays US 7-10 Year Treasury Bond UCITS ETF;UEFI;UEFI
106;EUR;FWB;HSBC MSCI AC FAR EAST EX JAPAN UCITS ETF;H411;H411
107;EUR;FWB;Vanguard EUR Eurozone Government Bond UCITS ETF;VETY;VGEB
108;EUR;FWB;ETFS 5x Long AUD Short EUR;5CH2;5CH2
109;EUR;FWB;Coba ETN -4x MDAXF Daily Short;X00Q;X00Q
110;EUR;FWB;BNP Paribas EUR Hedged Gold ETC;B4NV;B4NV
111;EUR;FWB;Xtrackers MSCI Canada UCITS ETF;D5BH;D5BH
112;EUR;FWB;Amundi ETF Govt Bond Lowest Rated Investment Grade Government Capped 1-3;X13G.OLD;X13G.OLD
113;EUR;FWB;HSBC MSCI CANADA UCITS ETF;H4ZR;H4ZR
114;EUR;FWB;ETFS Copper;OD7C;OD7C
115;EUR;FWB;Lyxor MSCI Russia UCITS ETF;RUS;LRUS
116;EUR;FWB;Coba ETC 2x Copper Daily Long;X0DA;X0DA
117;EUR;FWB;UBS ETF - Bloomberg Barclays USD Emerging Markets Sovereign UCITS ETF;SBEME;FRCK
118;EUR;FWB;iShares STOXX Europe 600 Food & Beverage UCITS ETF DE;EXH3;EXH3
119;EUR;FWB;Coba ETC 4x Gold Daily Long;X0CJ;X0CJ
120;EUR;FWB;Coba ETC 2 x Platinum Daily Long Index;X0BI;X0BI
121;EUR;FWB;Coba ETN -3x TECDAXF Daily Short;X00Y;X00Y
122;EUR;FWB;ComStage ETF iBoxx Liquid Sovereigns Diversified 3m-1 TR UCITS ETF;X501;X501
123;EUR;FWB;ETFS Softs;OD74;OD74
124;EUR;FWB;Amundi ETF Govt Bond Euromts Broad Investment Grade UCITS ETF;CB3.OLD;CB3G.OLD
125;EUR;FWB;Collateralized ETC on RICI Enhanced Zinc TR Index;BNQR;BNQR
126;EUR;FWB;L&G Russell 2000 US Small Cap UCITS ETF;ETLZ;ETLZ
127;EUR;FWB;ETFS Soybeans;OD7Q;OD7Q
128;EUR;FWB;Amundi Index Solutions-Amundi Euro Corporates;CC4;TCC4
129;EUR;FWB;Lyxor MSCI Greece UCITS ETF;GRE;LYMH
130;EUR;FWB;BNP Paribas Easy EURO STOXX 50 UCITS ETF;ETBB;ETBB
131;EUR;FWB;UBS Irl ETF plc - MSCI EMU Defensive UCITS ETF;UBUP;UBUP
132;EUR;FWB;UBS Irl ETF plc - S&P 500 UCITS ETF;SP500E;UEQD
133;EUR;FWB;Amundi Index Solutions - Amundi MSCI Europe High Dividend Factor;CD9;EHF1
134;EUR;FWB;ETFS Longer Dated All Commodities;9GAF;9GAF
135;EUR;FWB;ComStage ETF NYSE Arca Gold BUGS UCITS ETF;CD91;CD91
136;EUR;FWB;Xtrackers II Germany Government Bond UCITS ETF;X03G;X03G
137;EUR;FWB;Collateralized ETC on RICI Enhanced WTI Crude Oil TR Index;BNQD;BNQD
138;EUR;FWB;BNP Paribas Easy - MSCI Pacific ex Japan ex Controversial Weapons UCITS ETF;EPEJ;PAC
139;EUR;FWB;Xtrackers MSCI Emerging Markets UCITS ETF;XMME;XMME
140;EUR;FWB;iShares DivDAX UCITS ETF DE;EXSB;EXSB
141;EUR;FWB;Xtrackers II Japan Government Bond UCITS ETF;XJSE;XJSE
142;EUR;FWB;BNP PARIBAS EASY Equity Quality Europe UCITS ETF;QUED;QUED
143;EUR;FWB;Xtrackers MSCI Singapore UCITS ETF;XBAS;XBAS
144;EUR;FWB;Lyxor FTSE EPRA/NAREIT Developed Europe UCITS ETF;MEH;LEEU
145;EUR;FWB;Lyxor EUR 2-10Y Inflation Expectations UCITS ETF;INFL;EUIN
146;EUR;FWB;Xtrackers II Eurozone Government Bond 7-10 UCITS ETF;DBXB;DBXB
147;EUR;FWB;UBS ETF - Bloomberg Barclays US Liquid Corporates UCITS ETF;UEF9;UEF9
148;EUR;FWB;Xtrackers MSCI USA Health Care UCITS ETF;XUHC;XUHC
149;EUR;FWB;Coba ETN 3x NDXF Daily Long;X0DQ;X0DQ
150;EUR;FWB;Coba ETN 1x DJIAF Daily Long;X04E;X04E
151;EUR;FWB;Bank of China International BOCI Commerzbank - SSE 50 A Share Index UCITS ETF;C2BC;C2BC
152;EUR;FWB;Deka MSCI Europe ex EMU UCITS ETF;ELF5;ELF5
153;EUR;FWB;Deka iBoxx EUR Liquid SOV DIV 7-10 UCITS ETF;EL4P;EL4P
154;EUR;FWB;Xtrackers S&P Global Infrastructure Swap UCITS ETF;DX2E;DX2E
155;EUR;FWB;Xtrackers FTSE Developed Europe ex UK Real Estate UCITS ETF;XREA;XREA
156;EUR;FWB;Lyxor MSCI AC Asia EX Japan UCITS ETF;APX;LASI
157;EUR;FWB;Multi Units Luxembourg-Lyxor EURO STOXX Banks DR UCITS ETF;BNKE;LYBK
158;EUR;FWB;AMUNDI PRIME EUROPE UCITS ETF DR;PR1E;PR1E
159;EUR;FWB;Lyxor STOXX Europe 600 Oil & Gas UCITS ETF;OIL;LOGS
160;EUR;FWB;Lyxor Index Fund-Lyxor Ftse Epra/nareit Global Developed Ucits Etf;MWO;LMWE
161;EUR;FWB;Amundi Msci Eastern Europe EX Russia ETF;CE9;540G
162;EUR;FWB;Coba ETC 2 x Palladium Daily Long Index;X0BR;X0BR
163;EUR;FWB;Amundi Index Euro Agg Corporate Sri - Ucits Etf Dr;DECR;DECR
164;EUR;FWB;Lyxor EURO STOXX 50 Daily 2x Leveraged UCITS ETF;LVE;LYMZ
165;EUR;FWB;ETFS Aluminium;OD7A;OD7A
166;EUR;FWB;L&G Europe ex UK Equity UCITS ETF;ETLN;ETLN
167;EUR;FWB;Xtrackers MSCI World Swap UCITS ETF;DBXW;DBXW
168;EUR;FWB;Vanguard EUR Eurozone Government Bond UCITS ETF;VGEA;VGEA
169;EUR;FWB;Xtrackers S&P 500 Swap UCITS ETF;D5BM;D5BM
170;EUR;FWB;Xtrackers MSCI World Consumer Discretionary UCITS ETF;XDWC;XDWC
171;EUR;FWB;Wisdomtree EUR Aggregate Bond Enhanced Yield UCITS ETF;WTDP;WTDP
172;EUR;FWB;Lyxor New Energy UCITS ETF;NRJ;LYM9
173;EUR;FWB;ComStage ETF S&P 500 UCITS ETF;C012;C012
174;EUR;FWB;ComStage ETF STOXX Europe 600 Chemicals NR UCITS ETF;C064;C064
175;EUR;FWB;Lyxor STOXX Europe 600 Retail UCITS ETF;RTA;LRET
176;EUR;FWB;First Trust Eurozone AlphaDEX UCITS ETF;FTGE;FTGE
177;EUR;FWB;ComStage MSCI Italy TRN UCITS ETF;C032;C032
178;EUR;FWB;UBS ETF EURO STOXX 50 UCITS ETF;E50EUAEUR;UIM1
179;EUR;FWB;ETFS 3x Daily Long EURO STOXX 50;EUL3;EUL3
180;EUR;FWB;Amundi Msci India ETF;CI2;18MK
181;EUR;FWB;Xtrackers USD Corporate Bond UCITS ETF;XDGU;XDGU
182;EUR;FWB;Xtrackers MSCI USA Consumer Dcretionary UCITS ETF;XUCD;XUCD
183;EUR;FWB;Collateralized EUR Hedged RICI Enhanced Aluminum TR Index ETC;B4N4;B4N4
184;EUR;FWB;Coba ETN 2x HSIF Daily Long;X04W;X04W
185;EUR;FWB;Deka DB EUROGOV Germany 10+ UCITS ETF;EL4V;EL4V
186;EUR;FWB;AMUNDI PRIME US TREASURY UCITS ETF DR;PR1S;PR1S
187;EUR;FWB;ComStage CBK 10Y US-Treasury Future TR UCITS ETF;E570;E570
188;EUR;FWB;Lyxor S&P 500 UCITS ETF;LYPS;LYPS
189;EUR;FWB;UBS ETF - Bloomberg Barclays MSCI US Liquid Corporates Sustainable UCITS ETF;CBSUSE;UET0
190;EUR;FWB;Vanguard Global Momentum Factor UCITS ETF;VMOM;VMOM
191;EUR;FWB;Amundi ETF MSCI Spain UCITS ETF;CS1;AMES
192;EUR;FWB;Amundi Index Solutions-Amundi Govt Bond Highest Rated Euromts Investment Grade;AM3A;DE5A
193;EUR;FWB;OSSIAM SOLACTIVE MOODY'S ANALYTICS IG EUR Select Credit;OSXF;OSXF
194;EUR;FWB;Coba ETN 1x VSTOXXF Daily Long;X041;X041
195;EUR;FWB;Lyxor MSCI EM ESG Trend Leaders UCITS ETF;LESG;LESG
196;EUR;FWB;Deka MSCI Europe UCITS ETF;EL42;EL42
197;EUR;FWB;Coba ETN 2x NDXF Daily Long;X04N;X04N
198;EUR;FWB;Boost ShortDAX 3x Daily ETP;3DES1;3DES
199;EUR;FWB;Deka MSCI China ex A Shares UCITS ETF;EL46;EL46
200;EUR;FWB;Xtrackers II Eurozone Government Bond 3-5 UCITS ETF;DBXQ;DBXQ
201;EUR;FWB;HSBC FTSE EPRA/NAREIT Developed UCITS ETF;H4ZL;H4ZL
202;EUR;FWB;THINK Sustainable World UCITS ETF;TSWE;TSWE
203;EUR;FWB;Think iBoxx Corporate Bond UCITS ETF;TCBT;TCBT
