;Currency;Exchange;Name;Symbol;Symbol2
204;EUR;FWB;Lyxor MSCI Brazil UCITS ETF;RIO2;LBRA
205;EUR;FWB;Boost Natural Gas 3x Leverage Daily ETP;NGXL;NGXL
206;EUR;FWB;Coba ETC -2x Gasoil Daily Short Index;X0E6;X0E6
207;EUR;FWB;Xtrackers Morningstar US Quality Dividend UCITS ETF;XMDU;XMDU
208;EUR;FWB;Coba ETN 4x HSIF Daily Long;X0DZ;X0DZ
209;EUR;FWB;Xtrackers SLI UCITS ETF;DXS0;DXS0
210;EUR;FWB;ETFS Short INR Long USD;XBJH;XBJH
211;EUR;FWB;ComStage Commerzbank Bund-Future Short TR UCITS ETF;5X62;5X62
212;EUR;FWB;ComStage 1 SDAX UCITS ETF;E905;E905
213;EUR;FWB;Coba ETC 4x WTI Oil Daily Long;X0B4;X0B4
214;EUR;FWB;Xtrackers Stoxx Europe 600 Health Care Swap UCITS ETF;DXSE;DXSE
215;EUR;FWB;iShares eb.rexx Government Germany 1.5-2.5yr UCITS ETF DE;EXHB;EXHB
216;EUR;FWB;UBS ETF - Sustainable Development Bank Bonds UCITS ETF;MDBE;MDBE
217;EUR;FWB;Coba ETN 15x BUNDF Daily Long;X0CT;X0CT
218;EUR;FWB;ETFS 1X Daily Short Lean Hogs;4RTB;4RTB
219;EUR;FWB;UBS Irl ETF plc - Solactive Global Oil Equities UCITS ETF;UBUB;UBUB
220;EUR;FWB;ETFS EUR Daily Hedged Silver;00XR;00XR
221;EUR;FWB;Lyxor MSCI USA UCITS ETF;USA;LYYB
222;EUR;FWB;Boost WTI Oil 2x Short Daily ETP;2OIS1;2OIS
223;EUR;FWB;SPDR MSCI EM Latin America UCITS ETF;SPYL;SPYL
224;EUR;FWB;AMUNDI ETF FLOATING RATE USD CORPORATE UCITS ETF;FRNU.OLD;FRNU.OLD
225;EUR;FWB;ETFS Nickel;OD7M;OD7M
226;EUR;FWB;Amundi Index Solutions-Amundi Jpx-Nikkei 400;JPNK;JP40
227;EUR;FWB;Xtrackers MSCI World UCITS ETF;XDWL;XDWL
228;EUR;FWB;iShares Euro Government Bond Capped 1.5-10.5yr UCITS ETF DE;EXHF;EXHF
229;EUR;FWB;UBS ETF MSCI Europe UCITS ETF;EUREUA;UIMA
230;EUR;FWB;Lyxor STOXX Europe 600 Utilities UCITS ETF;UTI;LUTI
231;EUR;FWB;Lyxor Euro Corporate Bond UCITS ETF;CRP;LYEB
232;EUR;FWB;Amundi Index Solutions-Amundi Euro Corporate EX Financials Iboxx;AXFI;AFIX
233;EUR;FWB;Lyxor Australia S&P/ASX 200 UCITS ETF;LYPU;LYPU
234;EUR;FWB;ETFS Grains;OD7Y;OD7Y
235;EUR;FWB;Xtrackers Euro Stoxx 50 UCITS ETF;DXET;DXET
236;EUR;FWB;BNP Paribas Easy - MSCI Europe ex UK ex Controversial Weapons UCITS ETF;EEXU;EEXU
237;EUR;FWB;ETFS Gasoline;OD7G;OD7G
238;EUR;FWB;Xtrackers Stoxx Europe 600 Oil & Gas Swap UCITS ETF;DXSD;DXSD
239;EUR;FWB;iShares STOXX Europe Mid 200 UCITS ETF DE;EXSD;EXSD
240;EUR;FWB;UBS Irl ETF plc - MSCI USA UCITS ETF;UBU3;UBU3
241;EUR;FWB;PIMCO Low Duration Euro Corporate Bond Source UCITS ETF;LDCE;LDCE
242;EUR;FWB;Xtrackers MSCI Europe UCITS ETF;XIEE;XIEE
243;EUR;FWB;UBS ETF-MSCI EMU Value UCITS ETF;EMVEUA;UIME
244;EUR;FWB;Amundi ETF Govt Bond Euromts Broad Investment Grade 10-15 UCITS ETF;C10;18MW
245;EUR;FWB;Coba ETC -2x Natural Gas Daily Short;X0C8;X0C8
246;EUR;FWB;ETFS Short CNY Long USD USD;XBJF;XBJF
247;EUR;FWB;Xtrackers MSCI Europe UCITS ETF;DBXA;DBXA
248;EUR;FWB;ETFS 1X Daily Short Soybean Oil;4RTG;4RTG
249;EUR;FWB;AMUNDI ETF BBB Euro Corporate Investment Grade UCITS ETF;CAB3;CAB3
250;EUR;FWB;Xtrackers II Italy Government Bond UCITS ETF;XBO1;XBO1
251;EUR;FWB;BNP Paribas Easy Markit iBoxx EUR Liquid Corporates UCITS ETF;ELQC;ELQC
252;EUR;FWB;ComStage ETF iBoxx Liquid Sovereigns Diversified 15+ TR UCITS ETF;X508;X508
253;EUR;FWB;Deka iBoxx EUR Liquid SOV DIV 1-10 UCITS ETF;EL4K;EL4K
254;EUR;FWB;WisdomTree Europe SmallCap Dividend UCITS ETF;WTES;WTES
255;EUR;FWB;OSSIAM US MINIMUM VARIANCE ESG NR UCITS ETF;OSX2;OSX2
256;EUR;FWB;ComStage CBK US-Treasury Bond Future Short TR UCITS ETF;E572;E572
257;EUR;FWB;UBS ETF - Bloomberg Barclays US Liquid Corporates 1-5 Year UCITS ETF;UEF7;UEF7
258;EUR;FWB;ETFS EUR Daily Hedged Gold;00XN;00XN
259;EUR;FWB;ETFS WTI Crude Oil;OD7F;OD7F
260;EUR;FWB;iShares STOXX Europe 600 Media UCITS ETF DE;EXH6;EXH6
261;EUR;FWB;Xtrackers MSCI Mexico UCITS ETF;D5BI;D5BI
262;EUR;FWB;Lyxor iBoxx $ Treasuries 10Y+ DR UCITS ETF;US10;DJAD
263;EUR;FWB;Xtrackers II EUR Covered Bond Swap UCITS ETF;XLIQ;XLIQ
264;EUR;FWB;UBS ETF - Bloomberg Barclays US Liquid Corporates 1-5 Year UCITS ETF;CBUS5E;UEF8
265;EUR;FWB;iShares SLI UCITS ETF DE;EXI1;EXI1
266;EUR;FWB;ComStage ETF MSCI Emerging Markets Leveraged 2x Daily TRN UCITS ETF;C128;C128
267;EUR;FWB;Coba ETN -4x HSCEIF Daily Short;X0D0;X0D0
268;EUR;FWB;L&G All Commodities UCITS ETF;ETLF;ETLF
269;EUR;FWB;Amundi Physical Gold PLC;GOLD;GLDA
270;EUR;FWB;Amundi Index MSCI Emerging Markets SRI UCITS ETF DR;EMSRI;AMEI
271;EUR;FWB;Coba ETN 15x SCHATZF Daily Long;X0CZ;X0CZ
272;EUR;FWB;Lyxor MSCI India UCITS ETF;INR;LYMD
273;EUR;FWB;Xtrackers ESG MSCI Japan UCITS ETF;XZMJ;XZMJ
274;EUR;FWB;Coba ETN -3x NDXF Daily Short;X0DS;X0DS
275;EUR;FWB;UC MSCI European Green Bond EUR UCITS ETF;ECBI;ECBI
276;EUR;FWB;BNP PARIBAS EASY Equity Low Vol Europe UCITS ETF;VLED;VLED
277;EUR;FWB;ComStage ETF SDAX TR UCITS ETF;C005;C005
278;EUR;FWB;Coba ETN -4x DJIAF Daily Short;X0DK;X0DK
279;EUR;FWB;Deka MSCI USA MC UCITS ETF;EL41;EL41
280;EUR;FWB;Coba ETN 2x MDAXF Daily Long;X00J;X00J
281;EUR;FWB;Lyxor MSCI Indonesia UCITS ETF;INDO;LYXI
282;EUR;FWB;Amundi ETF MSCI Europe Ex Emu UCITS ETF;CU9;540H
283;EUR;FWB;Lyxor Commodities Thomson Reuters/CoreCommodity CRB TR UCITS ETF;CRB;LYTR
284;EUR;FWB;ETFS Ex-Agriculture & Livestock;OOEC;OOEC
285;EUR;FWB;Coba ETN 5x SCHATZF Daily Long;X0CX;X0CX
286;EUR;FWB;Vanguard S&P 500 UCITS ETF;VUSA;VUSA
287;EUR;FWB;Lyxor World Water UCITS ETF;WAT;LYM8
288;EUR;FWB;Lyxor STOXX Europe 600 Industrial Goods & Services UCITS ETF;IND;LIGS
289;EUR;FWB;Xtrackers FTSE 100 UCITS ETF;XDUK;XDUK
290;EUR;FWB;ETFS Bullish EUR vs G10 Currency Basket Securities;LEUB;LEUB
291;EUR;FWB;ComStage ETF STOXX Europe 600 NR UCITS ETF;C060;C060
292;EUR;FWB;BNP Paribas Easy - MSCI Europe ex Controversial Weapons UCITS ETF;EEUE;EEUX
293;EUR;FWB;Amundi S&P Global Luxury UCITS ETF;GLUX;GLUX
294;EUR;FWB;ComStage S&P Small Cap 600 UCITS ETF;X023;X023
295;EUR;FWB;Amundi Index Solutions-Amundi Msci USA;CU2;ACU2
296;EUR;FWB;Coba ETC -3x Brent Oil Daily Short;X0D3;X0D3
297;EUR;FWB;Collateralized EUR Hedged RICI Enhanced Copper TR Index ETC;B4N5;B4N5
298;EUR;FWB;Xtrackers Portfolio Income UCITS ETF;XS7W;XS7W
299;EUR;FWB;Lyxor Dow Jones Industrial Average UCITS ETF;DJE;DJAM
300;EUR;FWB;PIMCO Covered Bond Source UCITS ETF;COVR;COVR
301;EUR;FWB;BNP Paribas Easy - MSCI KLD 400 US SRI UCITS ETF;EKUS;EKUS
302;EUR;FWB;Coba ETN -3x HSIF Daily Short;X04Z;X04Z
303;EUR;FWB;Collateralized ETC on RICI Enhanced METALS TR Index;BNQW;BNQW
304;EUR;FWB;Boost US S&P 500 3x Leverage daily ETP;US9L;US9L
305;EUR;FWB;ETFS Bearish USD vs Commodity Currency Basket Securities;5CH1;5CH1
306;EUR;FWB;Coba ETN 4x SPXF Daily Long;X0DM;X0DM
307;EUR;FWB;Amundi Index Solutions-Amundi Msci Europe Minimum Volatility Factor;MIVO;MIVA
308;EUR;FWB;UBS Irl ETF Plc - Factor MSCI USA Prime Value UCITS ETF;UPVLE;UBUW
309;EUR;FWB;ETFS 1X Daily Short Nickel;4RTE;4RTE
310;EUR;FWB;Coba ETN -1x TECDAXF Daily Short;X00V;X00V
311;EUR;FWB;UBS ETF - Bloomberg Barclays US 1-3 Year Treasury Bond UCITS ETF;UEFF;UEFF
312;EUR;FWB;Xtrackers II Eurozone Inflation-Linked Bond UCITS ETF;DBXK;DBXK
